video_tags_id,tag_name,trending_videos_id
286,Faustino,17
287,Danilo,17
288,Crespo,17
289,Matheus,17
290,Kuasne,17
291,CB1000,17
292,Voyage,17
293,Gol,17
294,Quadrado,17
295,Turbo,17
296,familia,17
297,viagem,17
298,caminhao,17
299,cowboy,17
300,paulinho,17
301,paulinhosbk,17
302,gang,17
303,gbn,17
304,sheila,17
305,parati,17
306,paratudo,17
307,Slap Música,18
308,Arrocha,18
309,Música Sertaneja (Musical Genre),18
310,Pop,18
311,Gustavo Lima,18
312,Gusttavo Lima,18
313,Gatinha Assanhada,18
314,Tchererê Tche Tche,18
315,Sony,18
316,Sony Music,18
317,Buteco,18
318,Buteco do Gusttavo Lima,18
319,Buteco do Gusttavo Lima 2,18
320,O Embaixador,18
321,Homem de Família,18
322,Abre o Portão Que Eu Cheguei,18
323,Que Pena Que Acabou,18
324,Apelido Carinhoso,18
325,Na Hora de Amar,18
326,Mil Vezes Cantarei,18
327,Cem Mil,18
328,Eu Não Iria,18
329,Sujeito,18
330,Carrinho na Areia,18
331,Milu,18
332,Anitta,19
333,MC,19
334,Cabelinho,19
335,Até,19
336,céu,19
337,anitta,20
338,ateoceu,20
339,anittateoceu,20
340,anittamccabelinho,20
341,anittacabelinho,20
342,anittamccabelinhoateoceu,20
343,anittacabelinhoateoceu,20
344,cabelinhoateoseu,20
345,mccabelinhoateoceu,20
346,cabelinhoanittaateoceu,20
347,mccabelinhoanittateoseu,20
348,ateoceuletra,20
349,ateoseuletraoficial,20
350,ateoceulegendado,20
351,anittaateoceulegendado,20
352,anittaateoceuletra,20
353,anittaateoceuletraoficial,20
354,anittamccabelinhoateoceuletra,20
355,anittacabelinhoateoceuletra,20
356,anittamusicanova,20
357,anittamusicasnovas,20
358,Henrique,21
359,Juliano,21
360,Sem,21
361,Rede,21
362,caio,22
363,vitor,22
364,lo,22
365,banheiristas,22
366,banheristas,22
367,banheirista,22
368,criança,22
369,crianca,22
370,videos,22
371,futebol,22
372,esporte,22
373,desenhos,22
374,desafios,22
375,gol,22
376,gols,22
377,diversao,22
378,kids,22
379,teen,22
380,avine vinny,23
381,lançamento avine vinny,23
382,vacilou demais avine vinny,23
383,avine vinny ao vivo em sao paulo,23
384,avine vinny youtube,23
385,avine vinny ao vivo,23
386,avine vinny vacilou demais letra,23
387,avine vinny 2019,23
388,ta muito sem noção avine vinny,23
389,perder meu coração avine vinny,23
390,depois não diga que eu não te avisei avine vinny,23
391,Avine Vinny,23
392,Forró,23
393,Sony Music Entertainment,23
394,Vacilou Demais,23
395,corinthians,24
396,corinthians free fire,24
397,corinthians free fire campeão,24
398,corinthians ff,24
399,nobru,24
400,nobru live,24
401,nobru tv,24
402,weedzao,24
403,weedzao tv,24
404,level up,24
405,levelup 007,24
406,campeonato de free fire,24
407,campeão pro league,24
408,campeao pro league 2019 mundial,24
409,cerol,24
410,cerolzera,24
411,cerolzera live,24
412,cerol ff,24
413,timão,24
414,nação corinthiana,24
415,garena,24
416,garena free fire,24
417,garena free fire brasil,24
418,bando de loucos,24
419,bdl,24
420,ff,24
421,los grandes,24
422,corinthians campeão mundial,24
423,fixa,24
424,free fire,24
425,torcida do corinthians,24
426,weedzão,24
427,codeguim,24
428,filmes,25
429,filme,25
430,super-herois,25
431,super,25
432,herois,25
433,marvel,25
434,dc,25
435,valiant,25
436,homem-aranha,25
437,sony,25
438,esperados,25
439,aguardados,25
440,top,25
441,lista,25
442,2020,25
443,top 10,25
444,mais,25
445,expectativa,25
446,continuacao,25
447,sequencia,25
448,remake,25
449,reboot,25
450,quadrinhos,25
451,poderes,25
452,super oito,25
453,super 8,25
454,otavio uga,25
455,otavio,25
456,ugá,25
457,trailers,25
458,preview,25
459,canal do vasco,26
460,globo esporte vasco,26
461,informacoes do vasco,26
462,machao da gama,26
463,mario coelho,26
464,mario coelho vasco,26
465,noticias do vascao,26
466,noticias do vasco,26
467,noticias do vasco com mario coelho,26
468,notícias do vasco da gama,26
469,noticias do vasco globo esporte,26
470,noticias do vasco hoje,26
471,novidades do vasco,26
472,ultimas noticias do vasco,26
473,vasco,26
474,vasco da gama hoje,26
475,vasco da gama noticias,26
476,vasco hoje,26
477,vasco noticias hoje,26
478,vasco reforços,26
479,abel braga,26
480,german cano no vasco,26
481,havan no vasco,26
482,german cano,26
483,Portugapc,27
484,Minecraft,27
485,Portuga,27
486,Luiz,27
487,Fernando,27
488,minecraft,27
489,mods,27
490,PortugaPC,27
491,nike,27
492,chuteira,27
493,* ‹,27
494,gol,27
495,ganha,27
496,adidas,27
497,LOJA DO CANAL,27
498,Contato Profissional,27
499,Página Oficial,27
500,Redes Sociais,27
